,t_vals,flux_ratio_vals
3597,18085,0.5881219052723374
3598,18090,0.5881168711658812
3599,18095,0.5881118399712509
3600,18100,0.588106811685924
3601,18105,0.5881017863073806
3602,18110,0.5880967638331037
3603,18115,0.588091744260579
3604,18120,0.5880867275872955
3605,18125,0.5880817138107449
3606,18130,0.5880767029284214
3607,18135,0.5880716949378231
3608,18140,0.5880666898364497
3609,18145,0.5880616876218048
3610,18150,0.5880566882913945
3611,18155,0.5880516918427272
3612,18160,0.5880466982733155
3613,18165,0.5880417075806736
3614,18170,0.5880367197623192
3615,18175,0.5880317348157725
3616,18180,0.5880267527385572
3617,18185,0.588021773528199
3618,18190,0.5880167971822269
3619,18195,0.5880118236981726
3620,18200,0.5880068530735708
3621,18205,0.5880018853059588
3622,18210,0.587996920392877
3623,18215,0.5879919583318685
3624,18220,0.5879869991204787
3625,18225,0.5879820427562569
3626,18230,0.5879770892367544
3627,18235,0.5879721385595256
3628,18240,0.5879671907221272
3629,18245,0.5879622457221195
3630,18250,0.5879573035570651
3631,18255,0.5879523642245292
3632,18260,0.5879474277220804
3633,18265,0.5879424940472897
3634,18270,0.5879375631977309
3635,18275,0.5879326351709805
3636,18280,0.587927709964618
3637,18285,0.5879227875762253
3638,18290,0.5879178680033873
3639,18295,0.587912951243692
3640,18300,0.5879080372947293
3641,18305,0.5879031261540928
3642,18310,0.587898217819378
3643,18315,0.5878933122881838
3644,18320,0.5878884095581114
3645,18325,0.5878835096267649
3646,18330,0.5878786124917512
3647,18335,0.5878737181506798
3648,18340,0.5878688266011629
3649,18345,0.5878639378408157
3650,18350,0.5878590518672555
3651,18355,0.5878541686781033
3652,18360,0.5878492882709816
3653,18365,0.5878444106435167
3654,18370,0.5878395357933368
3655,18375,0.587834663718073
3656,18380,0.5878297944153598
3657,18385,0.5878249278828332
3658,18390,0.5878200641181328
3659,18395,0.5878152031189001
3660,18400,0.5878103448827803
3661,18405,0.5878054894074203
3662,18410,0.5878006366904701
3663,18415,0.5877957867295824
3664,18420,0.5877909395224127
3665,18425,0.5877860950666187
3666,18430,0.587781253359861
3667,18435,0.5877764143998027
3668,18440,0.58777157818411
3669,18445,0.5877667447104511
3670,18450,0.5877619139764974
3671,18455,0.5877570859799226
3672,18460,0.5877522607184033
3673,18465,0.5877474381896182
3674,18470,0.5877426183912493
3675,18475,0.5877378013209807
3676,18480,0.5877329869764997
3677,18485,0.5877281753554952
3678,18490,0.5877233664556596
3679,18495,0.5877185602746878
3680,18500,0.5877137568102772
